lead_id,created_at,purpose,project_id,project_name,unit_id,unit_type,bedrooms_min,area_sqft,budget_min,budget_max,currency,location,timeline,name,phone,email,contact_status,lead_score,lead_grade,lead_summary,sales_handoff_message,source_url,source_document,unknown_fields
L-0001,2026-06-25T08:00:00.000Z,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,ccb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,236000,236000,AED,Ajman / Ajman Corniche,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Ajman Corniche Residences; Unit: Commercial; Budget: 236000-236000 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0001: buy inquiry for Ajman Corniche Residences. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0033,2026-06-21T08:00:00.000Z,buy,0ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Manara,0ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,16800,16800,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Manara; Unit: Commercial; Budget: 16800-16800 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0033: buy inquiry for Al Manara. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manara&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manara&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0034,2026-06-21T05:00:00.000Z,rent,12b8dd4b_0ad1_e811_a2b8_00155d119707,Al Monaliza,12b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,13200,13200,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Monaliza; Unit: Commercial; Budget: 13200-13200 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0034: rent inquiry for Al Monaliza. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Monaliza&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Monaliza&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0035,2026-06-21T02:00:00.000Z,invest,b2b8dd4b_0ad1_e811_a2b8_00155d119707,Al Musalla Building (Kempinski),b2b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,26400,26400,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: invest; Project: Al Musalla Building (Kempinski); Unit: Commercial; Budget: 26400-26400 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0035: invest inquiry for Al Musalla Building (Kempinski). Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Musalla%20%20Building%20(Kempinski)&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Musalla%20%20Building%20(Kempinski)&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0036,2026-06-20T23:00:00.000Z,commercial,00b8dd4b_0ad1_e811_a2b8_00155d119707,Al Muthaf,00b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,18000,18000,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Muthaf; Unit: Commercial; Budget: 18000-18000 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0036: commercial inquiry for Al Muthaf. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Muthaf&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Muthaf&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0037,2026-06-20T20:00:00.000Z,buy,fcb7dd4b_0ad1_e811_a2b8_00155d119707,Al Nakheel 1,fcb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,20400,20400,AED,Ajman / Nakheel 1,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Nakheel 1; Unit: Commercial; Budget: 20400-20400 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0037: buy inquiry for Al Nakheel 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0038,2026-06-20T17:00:00.000Z,rent,29eb4220_c77d_ec11_a2ca_00155d119619,Al Nakheel 2,29eb4220_c77d_ec11_a2ca_00155d119619_inventory,Commercial,0,unknown,13431,13431,AED,Ajman / Nakheel 2,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: rent; Project: Al Nakheel 2; Unit: Commercial; Budget: 13431-13431 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0038: rent inquiry for Al Nakheel 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0039,2026-06-20T14:00:00.000Z,invest,06b8dd4b_0ad1_e811_a2b8_00155d119707,Al Nasr,06b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,19200,19200,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Nasr; Unit: Commercial; Budget: 19200-19200 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0039: invest inquiry for Al Nasr. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nasr&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nasr&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0040,2026-06-20T11:00:00.000Z,commercial,28b8dd4b_0ad1_e811_a2b8_00155d119707,Al Nuaimia Complex,28b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,15000,15000,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Nuaimia Complex; Unit: Commercial; Budget: 15000-15000 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0040: commercial inquiry for Al Nuaimia Complex. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nuaimia%20Complex&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nuaimia%20Complex&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0041,2026-06-20T08:00:00.000Z,buy,9eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Ofoq Tower,9eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,32400,32400,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: buy; Project: Al Ofoq Tower; Unit: Commercial; Budget: 32400-32400 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0041: buy inquiry for Al Ofoq Tower. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Ofoq%20Tower&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Ofoq%20Tower&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0042,2026-06-20T05:00:00.000Z,rent,f0d34484_309f_ee11_a2bf_00155d119841,Al Rumaila 1,f0d34484_309f_ee11_a2bf_00155d119841_inventory,Commercial,1,unknown,15600,15600,AED,Ajman / Rumaila 1,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Rumaila 1; Unit: Commercial; Budget: 15600-15600 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0042: rent inquiry for Al Rumaila 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumaila%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumaila%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0043,2026-06-20T02:00:00.000Z,invest,18b8dd4b_0ad1_e811_a2b8_00155d119707,Al Rumailah,18b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,21600,21600,AED,Ajman / Rumaila 1,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Rumailah; Unit: Commercial; Budget: 21600-21600 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0043: invest inquiry for Al Rumailah. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0044,2026-06-19T23:00:00.000Z,commercial,86b8dd4b_0ad1_e811_a2b8_00155d119707,Al Rumailah New Villas,86b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,102000,102000,AED,Ajman / Rumaila 1,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: commercial; Project: Al Rumailah New Villas; Unit: Villa; Budget: 102000-102000 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0044: commercial inquiry for Al Rumailah New Villas. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah%20New%20Villas&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah%20New%20Villas&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0045,2026-06-19T20:00:00.000Z,buy,11f6f9c7_d27d_ec11_a2ca_00155d119619,Al Sediq,11f6f9c7_d27d_ec11_a2ca_00155d119619_inventory,Commercial,1,unknown,19200,19200,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Sediq; Unit: Commercial; Budget: 19200-19200 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0045: buy inquiry for Al Sediq. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sediq&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sediq&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0046,2026-06-19T17:00:00.000Z,rent,32b8dd4b_0ad1_e811_a2b8_00155d119707,Al Shahba,32b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Leasing,1,unknown,27000,27000,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Shahba; Unit: Leasing; Budget: 27000-27000 AED; Timeline: 3-6 months; Unknowns: name|phone|email.,Aqaar lead L-0046: rent inquiry for Al Shahba. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shahba&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shahba&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email
L-0047,2026-06-19T14:00:00.000Z,invest,90b8dd4b_0ad1_e811_a2b8_00155d119707,Al Sheikh Humaid Building (Abu-Dhabi),90b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,37800,37800,AED,Abu Dhabi,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: invest; Project: Al Sheikh Humaid Building (Abu-Dhabi); Unit: Commercial; Budget: 37800-37800 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0047: invest inquiry for Al Sheikh Humaid Building (Abu-Dhabi). Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikh%20Humaid%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikh%20Humaid%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0048,2026-06-19T11:00:00.000Z,commercial,b4b8dd4b_0ad1_e811_a2b8_00155d119707,Al Sheikha Fatima Building (Abu-Dhabi),b4b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,36750,36750,AED,Abu Dhabi,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Sheikha Fatima Building (Abu-Dhabi); Unit: Commercial; Budget: 36750-36750 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0048: commercial inquiry for Al Sheikha Fatima Building (Abu-Dhabi). Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikha%20Fatima%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikha%20Fatima%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0049,2026-06-19T08:00:00.000Z,buy,44f00817_9e49_eb11_a2c6_00155d119619,Al Shorouq,44f00817_9e49_eb11_a2c6_00155d119619_inventory,Commercial,0,unknown,14400,14400,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Shorouq; Unit: Commercial; Budget: 14400-14400 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0049: buy inquiry for Al Shorouq. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shorouq&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shorouq&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0050,2026-06-19T05:00:00.000Z,rent,0eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Suwan,0eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,28800,28800,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: rent; Project: Al Suwan; Unit: Commercial; Budget: 28800-28800 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0050: rent inquiry for Al Suwan. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Suwan&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Suwan&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0051,2026-06-19T02:00:00.000Z,invest,10b8dd4b_0ad1_e811_a2b8_00155d119707,Al Tameer,10b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,40800,40800,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Tameer; Unit: Commercial; Budget: 40800-40800 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0051: invest inquiry for Al Tameer. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Tameer&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Tameer&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0052,2026-06-18T23:00:00.000Z,commercial,a8b8dd4b_0ad1_e811_a2b8_00155d119707,Al Thuraya 1,a8b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,20000,20000,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Thuraya 1; Unit: Commercial; Budget: 20000-20000 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0052: commercial inquiry for Al Thuraya 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0053,2026-06-18T20:00:00.000Z,buy,aab8dd4b_0ad1_e811_a2b8_00155d119707,Al Thuraya 2,aab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,20000,20000,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: buy; Project: Al Thuraya 2; Unit: Commercial; Budget: 20000-20000 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0053: buy inquiry for Al Thuraya 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0054,2026-06-18T17:00:00.000Z,rent,acb8dd4b_0ad1_e811_a2b8_00155d119707,Al Thuraya 3,acb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,33600,33600,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Thuraya 3; Unit: Commercial; Budget: 33600-33600 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0054: rent inquiry for Al Thuraya 3. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%203&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%203&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0055,2026-06-18T14:00:00.000Z,invest,42b8dd4b_0ad1_e811_a2b8_00155d119707,Al Yasmeen Complex,42b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Leasing,0,unknown,14000,14000,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Yasmeen Complex; Unit: Leasing; Budget: 14000-14000 AED; Timeline: immediate; Unknowns: name|phone|email.,Aqaar lead L-0055: invest inquiry for Al Yasmeen Complex. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Yasmeen%20%20Complex&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Yasmeen%20%20Complex&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email
L-0056,2026-06-18T11:00:00.000Z,commercial,beabdf96_e122_e911_a2b8_00155d119707,Al Zahir,beabdf96_e122_e911_a2b8_00155d119707_inventory,Commercial,1,unknown,14400,14400,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: commercial; Project: Al Zahir; Unit: Commercial; Budget: 14400-14400 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0056: commercial inquiry for Al Zahir. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahir&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahir&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0057,2026-06-18T08:00:00.000Z,buy,02b8dd4b_0ad1_e811_a2b8_00155d119707,Al Zahra Complex,02b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,24000,24000,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Zahra Complex; Unit: Commercial; Budget: 24000-24000 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0057: buy inquiry for Al Zahra Complex. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahra%20Complex&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahra%20Complex&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0058,2026-06-18T05:00:00.000Z,rent,6c1c103f_f0f0_ea11_a2c4_00155d119619,Al-Khour Tower C,6c1c103f_f0f0_ea11_a2c4_00155d119619_inventory,Commercial,1,unknown,44400,44400,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al-Khour Tower C; Unit: Commercial; Budget: 44400-44400 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0058: rent inquiry for Al-Khour Tower C. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al-Khour%20Tower%20C&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al-Khour%20Tower%20C&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0059,2026-06-18T02:00:00.000Z,invest,eeb7dd4b_0ad1_e811_a2b8_00155d119707,AL-Khour Towers,eeb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,195000,195000,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: invest; Project: AL-Khour Towers; Unit: Commercial; Budget: 195000-195000 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0059: invest inquiry for AL-Khour Towers. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=AL-Khour%20Towers&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=AL-Khour%20Towers&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0060,2026-06-17T23:00:00.000Z,commercial,1ab8dd4b_0ad1_e811_a2b8_00155d119707,Asayel 1,1ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,21600,21600,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Asayel 1; Unit: Commercial; Budget: 21600-21600 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0060: commercial inquiry for Asayel 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0061,2026-06-17T20:00:00.000Z,buy,a0b8dd4b_0ad1_e811_a2b8_00155d119707,Asayel 2,a0b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,22800,22800,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Asayel 2; Unit: Commercial; Budget: 22800-22800 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0061: buy inquiry for Asayel 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0062,2026-06-17T17:00:00.000Z,rent,30b8dd4b_0ad1_e811_a2b8_00155d119707,City Towers,30b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,222000,222000,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: rent; Project: City Towers; Unit: Commercial; Budget: 222000-222000 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0062: rent inquiry for City Towers. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=City%20Towers&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=City%20Towers&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0063,2026-06-17T14:00:00.000Z,invest,04b8dd4b_0ad1_e811_a2b8_00155d119707,Commercial Complex,04b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,24000,24000,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Commercial Complex; Unit: Commercial; Budget: 24000-24000 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0063: invest inquiry for Commercial Complex. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Commercial%20Complex&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Commercial%20Complex&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0064,2026-06-17T11:00:00.000Z,commercial,16b8dd4b_0ad1_e811_a2b8_00155d119707,Corniche Tower,16b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,357000,357000,AED,Ajman / Ajman Corniche,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Corniche Tower; Unit: Commercial; Budget: 357000-357000 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0064: commercial inquiry for Corniche Tower. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Corniche%20Tower&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Corniche%20Tower&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
