faq_id,topic,question,answer,intent_tags,escalation_required
FAQ-0201,foreign ownership,Can foreign buyers purchase Aqaar properties? (25),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,true
FAQ-0202,viewing,Can I arrange a private viewing? (25),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,false
FAQ-0203,investment,Which project is best for investment? (25),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,false
FAQ-0204,rental,Can Aqaar help with rental properties? (25),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,true
FAQ-0205,commercial,Does Aqaar offer commercial spaces? (25),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,false
FAQ-0206,payment,Are payment plans available? (25),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,false
FAQ-0207,handover,When will a project be handed over? (25),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,true
FAQ-0208,service charges,Are there service charges? (25),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,false
FAQ-0209,foreign ownership,Can foreign buyers purchase Aqaar properties? (26),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,false
FAQ-0210,viewing,Can I arrange a private viewing? (26),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,true
FAQ-0211,investment,Which project is best for investment? (26),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,false
FAQ-0212,rental,Can Aqaar help with rental properties? (26),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,false
FAQ-0213,commercial,Does Aqaar offer commercial spaces? (26),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,true
FAQ-0214,payment,Are payment plans available? (26),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,false
FAQ-0215,handover,When will a project be handed over? (26),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,false
FAQ-0216,service charges,Are there service charges? (26),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,true
FAQ-0217,foreign ownership,Can foreign buyers purchase Aqaar properties? (27),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,false
FAQ-0218,viewing,Can I arrange a private viewing? (27),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,false
FAQ-0219,investment,Which project is best for investment? (27),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,true
FAQ-0220,rental,Can Aqaar help with rental properties? (27),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,false
FAQ-0221,commercial,Does Aqaar offer commercial spaces? (27),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,false
FAQ-0222,payment,Are payment plans available? (27),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,true
FAQ-0223,handover,When will a project be handed over? (27),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,false
FAQ-0224,service charges,Are there service charges? (27),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,false
FAQ-0225,foreign ownership,Can foreign buyers purchase Aqaar properties? (28),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,true
FAQ-0226,viewing,Can I arrange a private viewing? (28),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,false
FAQ-0227,investment,Which project is best for investment? (28),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,false
FAQ-0228,rental,Can Aqaar help with rental properties? (28),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,true
FAQ-0229,commercial,Does Aqaar offer commercial spaces? (28),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,false
FAQ-0230,payment,Are payment plans available? (28),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,false
FAQ-0231,handover,When will a project be handed over? (28),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,true
FAQ-0232,service charges,Are there service charges? (28),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,false
FAQ-0233,foreign ownership,Can foreign buyers purchase Aqaar properties? (29),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,false
FAQ-0234,viewing,Can I arrange a private viewing? (29),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,true
FAQ-0235,investment,Which project is best for investment? (29),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,false
FAQ-0236,rental,Can Aqaar help with rental properties? (29),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,false
FAQ-0237,commercial,Does Aqaar offer commercial spaces? (29),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,true
FAQ-0238,payment,Are payment plans available? (29),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,false
FAQ-0239,handover,When will a project be handed over? (29),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,false
FAQ-0240,service charges,Are there service charges? (29),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,true
